loss,params,iteration,estimators,train_time
0.3058713743056012,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6832031313975195, 'learning_rate': 0.0019689157508565713, 'min_child_samples': 90, 'num_leaves': 325, 'reg_alpha': 0.7273445474782814, 'reg_lambda': 0.8417390060070408, 'subsample_for_bin': 240000, 'subsample': 0.5154204625492523, 'metric': 'auc', 'verbose': 1}",31,436,2.5805105999999967
0.30244384427903304,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7369200651085185, 'learning_rate': 0.0076758104820483794, 'min_child_samples': 65, 'num_leaves': 263, 'reg_alpha': 0.9904450136131668, 'reg_lambda': 0.7083203696011208, 'subsample_for_bin': 280000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",32,105,1.0775482999999895
0.30155018334321415,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6676033349933229, 'learning_rate': 0.0014017376719240025, 'min_child_samples': 75, 'num_leaves': 275, 'reg_alpha': 0.9094356752467018, 'reg_lambda': 0.65487709013972, 'subsample_for_bin': 240000, 'subsample': 0.6726570082150514, 'metric': 'auc', 'verbose': 1}",33,316,2.1610166999999905
0.3103243088948905,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6458962177635568, 'learning_rate': 0.0037898417003511104, 'min_child_samples': 100, 'num_leaves': 230, 'reg_alpha': 0.9974423315390475, 'reg_lambda': 0.8002204637840667, 'subsample_for_bin': 240000, 'subsample': 0.4125377440984183, 'metric': 'auc', 'verbose': 1}",34,149,2.7952908000000036
0.30623366927958195,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.624978660370474, 'learning_rate': 0.01862949412268436, 'min_child_samples': 65, 'num_leaves': 193, 'reg_alpha': 0.44903079881120783, 'reg_lambda': 0.9505694699109746, 'subsample_for_bin': 280000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",35,41,0.6380525999999946
0.30274465889379265,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6004042529513594, 'learning_rate': 0.002161914815972977, 'min_child_samples': 80, 'num_leaves': 71, 'reg_alpha': 0.7348303172313684, 'reg_lambda': 0.8956082902563072, 'subsample_for_bin': 180000, 'subsample': 0.48780235356790785, 'metric': 'auc', 'verbose': 1}",36,414,2.4600168999999994
0.3033265265792767,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6575195971051851, 'learning_rate': 0.0010185613108428346, 'min_child_samples': 65, 'num_leaves': 152, 'reg_alpha': 0.5489305843061449, 'reg_lambda': 0.6555480919261717, 'subsample_for_bin': 260000, 'subsample': 0.6185844063608987, 'metric': 'auc', 'verbose': 1}",37,341,2.4431358000000074
0.3254199328107503,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6705171889428724, 'learning_rate': 0.15160141499939547, 'min_child_samples': 75, 'num_leaves': 246, 'reg_alpha': 0.9351737465982228, 'reg_lambda': 0.7737632630497293, 'subsample_for_bin': 180000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",38,7,0.3140630000000044
0.30776189535164566,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8908932129644108, 'learning_rate': 0.03080881567090333, 'min_child_samples': 85, 'num_leaves': 335, 'reg_alpha': 0.4347416524680121, 'reg_lambda': 0.7072312959701544, 'subsample_for_bin': 200000, 'subsample': 0.517301584735208, 'metric': 'auc', 'verbose': 1}",39,37,0.7941091
0.3023362536503964,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6806535186605288, 'learning_rate': 0.004252036207468013, 'min_child_samples': 50, 'num_leaves': 295, 'reg_alpha': 0.8371729894005457, 'reg_lambda': 0.944304206120085, 'subsample_for_bin': 240000, 'subsample': 0.7839112494903306, 'metric': 'auc', 'verbose': 1}",40,153,1.6435172999999992
